participant_id,task_num,word_count,time_spent,response,openai_score,qwen_score,xai_score
8,3,53,359,"from child hood  i have dreamed to becoming a doctor and my family was very poor and this dream seemed very far, this dream was more for my sick much as she was sick and not doctor will treat her because we could not afford it.  I reached that dream, i am now",15,10,10
8,5,43,160,My mum died when i was 15 and i have i little brother who was 12 and my dad was not very present i had to take the motherly responsiblity to take care of my brother and today was are grown and well.,15,15,20
9,1,152,237,"I think this story stands out. I was driving back to work, after running home for lunch and saw the most amusing and surprising site. A woman had stopped her car to assist a box tortoise that was trying to cross the road. This in of itself wasn't surprising. But the reaction of the tortoise was. It was scared. So scared it did was they do when scared. It proceeded to urinate. A lot. ALL over the woman. Now, the poor woman, shocked by this turn of events, yelled and threw the tortuise into the air. The poor Tortoise, scared again, proceeded to urinate again, now in mid air, and sprayed the woman even more, soaking her hair. The animal landed on the dirt, right side up, and immediately made for a patch of woods. The poor woman now covered with tortoise urine, stood there for a moment and began to laugh.",38,38,42
9,2,120,242,"The Pirates Grill is a humble establishment. It's small, and decorated in the most eclectic style. It's run by a husband and wife team. One is from Bulgaria and one is from the Ukraine. While that makes it interesting, what really stand out is the food. Eating here is like eating at your Grandma's house, if your Grandma had spent a life making food from Eastern Europe and the Med. Hummus to die for, kebabs that are full of flavor, insanely good shwarma, fantastic Borscht, and one of the best pieces of honey cake I've ever had. Service is mixed, as the couple do it all themselves, but the food is in fact... the star. It's worth the wait, everytime!",28,25,35
9,3,101,341,"To whom it may concern:
I'm writing you today to ask for an investment of 10,000$ in FormatAI a revolutionary AI agent that allows a self-published author to take a finished manuscript and with a single click transform the final draft to publishing ready formatting. Formatting a book is always a headache, and this tool allows authors to make it simple. More time writing, less time formatting. Offering authors a hassle-free experience across various formats and sizes, expanding their reach and maximising their creative potential. With your help, we can transform the self-publishing field, not in the future, but right now.",24,25,38
9,5,108,182,"What stands out to me was the 2008 financial crisis. I was working for a company that primarily was paid from state and federal contracts. Money was drying up everywhere and layoffs had started. While I was working in IT, we weren't immune from the cutbacks. Out of a team of 9, 4 people were laid off all at once. I was very thankful that I was spared the axe, but it made everything far more challenging. Everyone who was left had to pickup the workload, and there was a lot. We had to generate new procedures, new ways of doing everything. It was a VERY challenging time.",20,25,15
10,1,102,264,"What an unforgettable night watching The Script at Ludlow Castle - singing along, enjoying a few beers, and making memories with family. 

I want this to be a longer post than usual, weird for me, I know. 

It's good to do these things. I wasn't actually that keen! They were so much better than I imagined, and every song brought back special memories. I actually forgot that I knew so many songs! 

It was amazing to share that with my loved ones. The castle backdrop made it all feel magical, and all I want now is to do the same thing again!",28,25,30
10,2,103,178,"I recently watched the film called Speak No Evil, the English version of a Danish-language film. 

Wow. It was brilliant, exactly what a horror-drama should be. It was chilling, and I was on edge the whole time. The acting was brilliant, and it felt like a big must-watch film. 

James McAvoy is a great actor, and to be honest, that was one of the main reasons why I decided to watch this film. But it was actually much more than that. I think normally I have a good idea of what's going to happen, but I could not predict this one at all!",20,25,15
10,3,100,132,"Imagine a series of vibrant, casual coffee shops where the focus is purely on great coffee and great cakes, creating a cosy community place for socialising and relaxation. With your $10,000 investment, we can establish a unique, fun atmosphere that attracts coffee lovers and builds a loyal customer base, setting the stage for future growth and expansion. 

I've worked in coffee shops. I know what is needed to make them different, to make them work. Customers are so important, and making them come back regularly is the sign of a brilliant place. It would be amazing to do this together.",18,15,15
10,5,59,136,"I navigated a challenging work environment by maintaining professionalism and focusing on delivering high-quality work, which ultimately improved my working relationship with my boss. 

I think that bosses can sometimes be tricky people, sure, but the reason I stuck with it was because they are a human too. Everyone has flaws! We have to work together to overcome them.",20,15,15
11,1,94,269,"Hello travellers and adventure people. I recently went to a country in East Africa called Kenya. Well, I was expecting much but the trip was more than worth it. I visited the most popular wildlife tour called the Mara. And guess what its one of the seven wonders of the world this is because you get to see wild beasts cross from one side of the park to the other, crossing a flooded river and dangerously infested with crocodiles and other water beasts. Its a beautiful sight to see, you should check it out.",20,25,25
11,2,58,359,"Even if movies is not your cup of tea you will find this particular movie very captivating. Talk about the plot the actors the graphics, wow everything is just top notch. Honestly, its a thriller for me. It involves a group of high quality car drifters or you may say pro drivers. The movie name, FAST AND FURIO",15,15,12
11,3,54,350,"I want to start a production company specializing in high quality video content creation for brands, agencies and individuals. The services will include social media content creation, event videography, brand adverts,corporate video production and post production editing. Target market is business  and entreprenuers. We'll have state of the art equipment and a talented team",15,15,15
11,5,87,340,In my previous role I was working on a project with a tight deadline and we discovered a problem as we got closer to launch. The client was expecting delivery and not delivering would have cost our reputation and loss. I took the initiative to lead a brainstorming session with our team and identified the potential problems. We worked together even extra hours and got the job done by delegation of responsibilities and we were able to resolve the technical issue and deliver the project on time.,15,15,15
12,1,102,346,"Just got back from one of the most breathtaking hikes I have ever taken in my life. As I was walking the trails today, my breath was taken away by the amazing sites of the mountain tops and the thousand year old trees. The greenery was enchanting and the air was cool and crisp, the wind has never felt so good on my skin. This moment was so peaceful and left me so content. I will forever cherish and remember this amazing hike, I have never been left so breathless in my life and I can not wait to do this again.",20,15,25
12,2,137,334,"As I walked into the restaurant I was first met with amazing decor scattered around the restaurant. The vibes were amazing and it gave such an old timey feel. The walls were decorated in pictures from olden days and they had vintage items set up all over the place. The smells of fresh baked bread filled the air. We got seated fast and the server we had was very attentive. We order bacon and eggs and order one of their cinnamon rolls. The food came out super fast, however when I took a bite into this seemingly delicious food, I was met with a not so delicious taste. MEDIOCRE. Although the atmosphere was great, the food was not so much. I would recommend to come at least once, but I would never come back to eat again.",20,15,25
12,3,113,327,"Sourdough has always been a life long business dream. I started sourdough years ago when my passion for baking expanded. Over the years sourdough has risen in popularity and has gone viral all over the country. By just using flour, water and salt makes it appealing to many people because a lot of people are cutting out preservatives. By starting this business I would love to give people the opportunity to have a store front to buy their fresh baked breads whenever they want without having to wait for the farmers market every week. I really enjoy this bread, many people enjoy this bread and I think you would enjoy this bread to.",18,15,15
12,5,122,333,"A challenge I had to overcome was actually really recently. I had some issues arrive at work and they needed some help on how to over come the challenge. My company really needed a new website up and running fast. They had hired someone to do it and they had fallen through. This website needed to be up in 24 hours and they threw it at me and I was left to figure out how to get it done on time. With my time management skills and my ability to cope with high stress situations, I was able to overcome the challenge of having this website up in a short time and got it done exactly when it needed to get done.",20,15,15
13,1,139,307,"I'm always the teacher's pet, it's just my personality. While on vacation in the mountains I was able to visit a glass blowing presentation. True to my teacher's pet personality I asked many questions and maintained eye contact. The presenter engaged with me and to much shock invited me to help him during his presentation. I was able to hold the blow pole while he created ""a magical kitty with a long tail"" out of vibrantly glowing molten glass. We had some fun banter and then I suddenly heard a loud crack. My kitty was suddenly ""a magical kitty with a short tail."" I went back the next day to buy this magical kitty before he got melted down again because of his defective tail. He's sitting on my desk now reminding me of such a fun family event.",38,32,38
13,2,117,202,"Imagine yourself at work, you're sat in your squeaky office chair and your desk is full of clutter. Not a happy experience. This coffee table changes everything if you work from home. It lifts up so that your office chair is now your couch. You just extend your coffee table and work from the comfort of your living room. Kick your feet up and watch some tv or listen to some music while in between work tasks. This coffee table was easy to put together and looks great in my office, oops, I mean living room. It's sturdy and I think it will last a long time. The extra drawers and storage spaces are also extremely helpful.",24,25,35
13,3,111,360,"Here's my idea which may or may not be available but I believe it's a business for which there can be a lot of growth. An app that tracks all of your subscriptions across all platforms but with a twist. That twist is that it can also track your rewards memberships and any type of spending you want to control. You have full control over which content you want to monitor. It could have health tracking, subscription tracking, spending tracking and even track what groceries you have left in the fridge. The possibilities are endless and can reach all aspects of your life. All crammed into one easy to use app.",28,25,35
13,5,144,331,"A life experience that was challenging to me that I overcame was trying to learn how to be a teacher during covid lockdowns. I had three children at the time. One was starting elementary school, the other was starting high school(also first year of college, a special program in my area). The third was in diapers. I learned how to juggle all of these responsibilities and created special places in my house to designate as virtual classrooms. The dining room was the high school and the living room was the elementary school. I hung up fairy lights and curtains so the kids could stay focused. I'd bounce between the two ""schools"" while taking care of the toddler. Each day we'd take some time away from learning to do a ""daily happy."" For our daily happy we'd do a fun craft or activity each day.",32,25,38
14,1,100,357,Proud Parent Moment!  Eric has just broken the U21 archery record for the UK at last month's National Tour competition. We got the official confirmation today. I'm so proud of the work he has done this year to get to the top.  He has been working really hard with his coach but he's also spent loads of time in the gym building his strength so he can use a higher poundage bow.  Watching him grow in both skill and strength has been inspiring. Let's hear it for the champ!!  I'm so amazingly proud of him! #archery #archerychamp #amazing son yay!,20,15,25
14,2,110,281,"Big Wheels in York is my go-to for car services. They did my MOT recently and I found they were really trustworthy. It is run by Bruce. He is impressively honest and forthright. His clear communication about pricing and dedication to quality service make him a standout. Trust him for both routine and complex car repairs without hesitation. 
After I had the MOT, my second car developed a fault with the clutch. I was so relieved when Big Wheels expertly repaired my car's clutch. The job was done efficiently and at a great price, giving me peave of mind and proving their skill and reliability. Definitely a five star service!",18,12,15
14,3,109,328,"I'd love for you to invest in Brighter Horizons Play Hub. We are an innovative centre combining education and fun. We offer a blend of after-school tutoring and play activities at our centre.  As well as offering indoor play we have dedicated tutors teaching group and individual classes for 5-16 year olds. A ticket to play and learn will include a meal, one or two tutoring sessions, depending on age and ability and then an hour of play for 5-12 year olds. 12-16 year olds benefit from our community youth hub attached to the centre. Join me in shaping the future by fostering a love for learning and play.",24,25,28
14,5,110,321,"One of the most significant challenges I have faced recently is when I had a rental house. After our tenants left we needed to do some redecorating. The shower, unfortunately, required significant repairs. Even though I had no prior plumbing experience I decided to undertake this myself. I got kitted up with supplies from Screwfix and set to work myself in order to save time and money. I turned to YouTube tutorials and spent hours researching different creator's videos in order to learn how to do the repairs myself. I had a can-do attitude and a lot of confidence in myself. Amazingly I was able to fix the shower perfectly!",20,15,15
15,1,136,360,"You know when you are sitting around and spinning ideas around in your own head? That happened to me the other night. As I laid on the couch, where I sleep mind you, I began to contemplate the universe and reality, and I almost cried. I just could not understand how or why anything exists, Let's just skip all of the bullcrap and start at the Big Bang. it's obvious that from our point of view there's a loophole. What created the thing that created the Big Bang. Even if there was a single particle, what made the particle? how does any particle at it's smallest, create itself? Maybe there is no time, maybe there are no particles, maybe this is all some monkey hunt to understand things we cannot even perceive for what they are.",36,32,38
15,2,89,290,"Hello, My name is Kal-el. I recently saw a movie based on my life and I wanted to review it. Firstly, my parents aren't planet colonizing zealots. Secondly, If a man shhots an innocent man right in front of me, while also trying to poison me to death, when I escape, trust that I will stop at nothing to find that man and either throw him into space or bring him directly to the authorities. No messing around. Finally, I will not be babysitting my drunk cousin's untrained dog.",44,42,38
15,3,40,287,"So, we are living next to one big ole reactor? One that has been feeding our planet for 4.5 billion years, and we don't know how to use it? Join us in unlocking true potential, sustainable energy for another millennia.",30,42,38
15,5,99,264,"At most jobs, there is a cultural fallacy that telling the truth about an adverse situation will get someone else in trouble. Most employees do not understand that the goal of a root cause analysis is not to assert blame, but to analyze current systems and see if there are bottlenecks or things that can be improved. At my last job, we faced this issue many times. I suggested to management that we clearly define our culture through in-services and creating sayings and reminders to hang around the office of the importance and purpose of a root cause analysis.",28,25,20
16,1,120,335,"Last weekend I went to a ""fake festival"" with my friend Wendy - copies of favourite band, in a field, with drink and dancing. We'd been growing apart since she got a new boyfriend, and I get that she wants to spend time with him.  But, this was an important day for us, and I was anooyed when she left early to go to his. I stayed because I was having fun. I ended up winning a dance off! When I sent her the video she realised she'd been missing out.  She laughed at it a lot and decided we shoukd have more adventures together in the future. It's nice to know I am still a priority in her life.",32,25,35
16,2,177,282,"Recently, I wanted to change internet providers. I found a great price and booked an installation, but I was dubious that the equipment would arrive before the engineer, the turnaround time was so tight. 

I went online to find a number to call or an agent to talk to online, but I got stuck in a loop with a chatbot which did not understand my query, or seem able to find me a real person. Eventually I had to complain, and then I found someone to cancel the order. This was simply because it was so difficult to find a proper answer to a simple question.

It is a shame that customer service was so difficult but like many people, I can't face agents which are not programmed for nuance every time there is an issue. I reccomend others go with a real, in person service in their local area, even if it costs more - it's when there are problems that you need a real person in your corner. This company simply couldn't provide that reassurance.",20,25,20
16,3,164,359,"I have long believed that food is medicine. Modern food production means people are often far removed from what they eat and consume what will not serve them.
With a recent interst in avoiding ultra processed food - Ultra Processed People has sold over 100k copies in the UK alone -  I want to provide a place where families can learn about agirculture; how grains, fruit and vegetakes grow in the field, how to tend them, when they are ripe. Partnering with local farms, I want to build a weekend camping and cookery retreat where parents and children get connected to nuritients, learn to make simple, tasty nourishing meals, and rethink their relationship with food.
I have connections on farms, but I need equipment - tents, stoves, pots and pans, and so on. And a small marketing budget, targeting intiially the 2% of the population who are vegan, and working via social media to find those with an interest in holistic, no snake-oil, health.",32,32,38
16,5,164,269,"In my last job, I ended up running the furlough scheme during lockdown. I worked for a theatre, and we were closed; almost everyone was on furlogh except me and the finance director. I was exhausted; no days off for months long hours, and managing communications with very stressed people.

I had a month long break to use up my time off in lieu, but it wasn't enough. I took a career break; stopped work altogether, ate well, exercised, visited people I care about.

When I felt ready a few months later, I signed up for a college course in counselling, which I have now finished; and I started volunteering at Citizen's Advice, which I still do now. I learned that for me, it's not about the money it's about being able to help people. And I need to be healthy in body and mind to do that.

Any job I look at now, has to feed my soul, not just my bank account.",28,32,35
17,1,44,355,We have recently moved my mother in law to an assisted living setting.  She's been having difficult living on her own.  We hope she settles in quickly. It's a nice place and I think she will do much better. Feel free to visit herl,15,15,15
17,2,80,360,"I love my local Taco Bell.  I feel so at home there.  The employees are so nice. I spend a lot of time there and I see how they treat other customers.  If they ever have a problem, the employees do everything they can to fix it.  I also love the food.  The chicken flatbread is awesome. I like to personize it. I swap the chicken for steak.  You can't beat steak and cheese in a soft flatbread, steamy. Yum.",18,15,12
17,3,16,360,"Travel for Less.

I want to start a travel channel on YouTube that centers around savi",15,15,15
17,5,95,360,"I held my previou was able to get a nice routine going and that made it easier.  I could do preplanning of meals, schedule my laundry times, and adjust everything so that the kids knew when I was available to help with homework or other problems, and they also knew what chores or duties were expected for them and when.  They helped out and that enabled me to concentrate on work because I knew it was being done.sj obs when my kids were little.  It was sometimes a challenge to balance of work and home.",15,12,12
20,1,56,347,"""After months of planning and dreaming, I finally transformed my backyard into my dream space with the stunning new deck I built (with a little help), complete with a built-in fire pit!  From relaxing morning coffees to starlit nights with friends gathered for drinks around the fire, this space has become my favorite retreat!  #DreamDeck #BackyardBliss",24,25,30
20,2,92,338,"I recently completed the 2 season series '1923' and I have to say it was one of the best, most engaging series I've watched in some time.  The chemistry between two of the main characters, Harrison Ford and Heather Mirren as the head of the Dutton family, was so believable and amazing.  Taylor Sheridan, who is the creator and writer of the show, should win an Oscar.

If you're a fan of westerns, '1923' will captivate you with its rugged landscapes, intense drama, and a fresh take on classic frontier storytelling. 8/10",20,15,28
20,3,82,355,"The 3D printing market is booming, and is projected to grow at a compound annual growth rate of over 20% from 2023 to 2030. In 2022 alone, the global market was valued at around 16 billion and is expected to reach 76 billion by 2030. The focus my 3D printing business would focus on the industries of healthcare, education and manufacturing which are all in high demand for 3d printed solutions.  Your 10K investment would provide capital for 2 3d printing machines.",18,15,15
20,5,86,290,"In my past position at Adobe, I moved from my Desktop support position to joining the Remote Access team which presented a number of new challenges.  The most important aspect of the position was to ensure secure and reliable connections for a diverse global workforce while managing different time zones.  Because of my strong communication skills and ability to utilize the expertise of my fellow team members and learning how to resolve the standard issues, I was able to become a great member of the team.",15,15,15
21,1,149,360,"Well I do remember one thing that I will never forget.  The traffic accident that closed down the only highway to get in and out of town.  We were on that highway around 4 am and noticed red lights up ahead.  We slowed down and eventually came to a full stop.  We didn't think much of it, maybe road work or a fender bender.  We couldn't see anything because we were at the back of the line at that point and surrounded by semi trucks.  Now this was an unfamilar place because we were on vacation so this was just us passing through.  After an hour I was able to look it up on FB and someone who was sitting at the front of this long line posted, "" Semi crash, on fire, driver trapped"".  After that the fire was out and the driver was still trapped and t",20,25,25
21,2,208,359,"Last week my husband and I went on a road trip to visit family.  It took us 12 hours total to get there from where we live.  We decided to break it up into 2 days and driving 6 hours a day.  Well the first night after traveling for 6 hours we stayed at a nice hotel.  They gave us a king suite wich had a large king size bed, a sitting area that was connected to the bedroom and it also had two bathrooms.  It was the only room available at the time and even though it was just the two of us the room fit us perfect.  We made some sandwiches from the fixings that we had taken with us on the trip.  Poured a few drinks and had a nice quiet relaxing meal together in our room.  The hotel was full but we didn't hear anyone else, there was no noise.  It was so nice.  
After we ate we decided to take awalk around the hotel and explore all they had to offer.  They had a coffee station in the lobby and an area to sit and relax.  They had another detached building that enclosed a pool and hot tub.  The walls were windows along",15,15,15
21,3,173,310,"I have a dream about a toaster on wheels.  Actually the toaster sits on a flat tray that tiny wheels.  This would enable the user to roll the toaster easily back and forth under the cabinet when in use. The tray would have a little lip all the way around it that would catch and hold all the crumbs that fall through.  This would save so much time and energy trying to move the appliance around on the counter to clean up the crumbs.  It also helps to move the toaster out from ender the cabinet for use to not dry out the underside of the cabinet from the heat and also avoid any fires.  This is such a simple but excellent idea and with the right funds we can make every household a little more less challenging.  
I vision a try that would come in many colors to match any and all kitchen styles.  It is small and sleek and fits perfectly on the countertop without leaving a clutter look or feel.",28,15,18
21,5,191,359,"I worked for a big retail company years ago and my position was what they called an MA, Merchandising Assistant.  I was in charge of my department, this was stocking, organizing, setting signs and making sure sale prices showed up in the main computer.  I had two associates that worked under me.  One of the issues I had was trying to delegate tasks to my associates who didn't really care for eachother.  This made my job more stressful and challenging.  So I went up and talked with my supervisor about the issue and we talked about it.  She suggested a few things to get my associates involved in along with me as a group, fun tasks that would require everyone working together in a more fun way and they would be rewarded at the end of the task.  I gave my associates this task and said we are all doing this and we all start at the bottom on the same level, we are suppose to interact with eachother and say a motivation word for eachother and cross it off the list.  The key was to not repeat what was said",20,15,28
22,1,105,338,One week ago today my older sister went to inpatient rehab for alcohol addiction. She has psoriasis of the liver. She wanted to go to rehab because she knew that her life was out of control and she was slowly killing herself. She has two kids and four grandkids and a great husband that all adore her and want to see her succeed. She promised our Mother before she passed away that she would quit drinking and she is finally doing it. I am so happy for her and hope that telling her story can help someone else possibly get the help that they need.,28,35,30
22,2,102,360,"Recently I decided to try Instacart grocery delivery. I am so happy that I finally tried it! It is very convenient to be able to do your grocery shopping on an app, and your groceries magically appear at your door. Instacart is a wonderful option for busy parents, the elderly or just anyone who does not want to go out! The products are a little more expensive, but well worth it for the average person who does not like dealing with shopping. I would recommend it! it is also great for people who do not have a car and do not live",15,12,15
22,3,102,335,"Did you know that 90% of women are wearing the wrong size bra?! When a bra is properly fitted it is not uncomfortable or painful. Bra's are supposed to hold your breasts in line with your mid upper-arm. This is the position that best supports and helps keep you from having back or shoulder pain. Most women, if properly fitted would be amazed at how much better they feel and look! Properly fitted bras have been a passion of mine since I was about 20 years old. I would love to help others to feel empowered and fabulous! I'm on a mission!",24,25,25
22,5,102,360,"I was diagnosed with type 1 diabetes when I was ten years old. I am now 54 years old and it has been quite a struggle to maintain my health for a very long time. Everyday I must be aware of what I am doing and what I am eating to keep my blood sugar under control. As all type 1 diabetics I take daily insulin injections. It sounds painful, but you definitely get used to it. I also must take numerous blood glucose readings everyday. I think all of these struggles have made me a stronger more resiant person in general.",20,15,15
23,1,107,273,"I just had the most amazing experience at Mt. Hood, snow boarding in July is possible at timer line lodge! they have one lift but who cares when you get to come out ands be on snow almost all year round? Seeing all these dedicated people out here in the summer is such an inspiring event! It really makes you want to improve and lock in, I thoroughly enjoyed my stay here and loved every run i was able to take and grateful this place exists! awesome people all around, from the workers to other boarders, it was  such a friendly and dope vibe!

#mthood #timberline #summerboarding",32,25,35
23,2,86,360,"The how to train your dragon movie was a fun exploration and adaptation of the original animated movie. It was super cool to see this brought to life in the big screen, it feels nostalgic and new at the same time, it was a great experience to see and experience all these years later. super recommend and highly suggest you watch with others who have seen the movie as kids! although if you are older the crowd may be too young and rowdy for your liking",20,15,20
23,3,48,360,"We are looking to raise $10,000 to fund our fine dining restaurant, we are a mexican asian fusion small plates store that is looking for elevated dining without the high proce tag, we know times are tough but that does not mean we can not enjoy our selves",22,25,15
23,5,57,360,"Once there was this customer who came in and was very upset she had lost all her data on her phone, i was able to reassure her and stayed and worked diligently and stayed to get her data back, turning a stressful situation to a customer who now trusts and always wants to work with me evert",18,15,15
24,1,123,221,"When the skies opened up so did my sense of adventure, my buddy Michael and I had set off on yet another of our community centered walking adventures. We met up in the beautiful greenery of the neighbourhood park and planned to get some laughs and exercise in. We made it about halfway around our usual route having left the park and hit the streets. Eventually we heard the resounding crack of thunder breaking the sky asunder. The rain came down and yet our spirits soared high we both started cracking up from how drenched we became over the course of this deluge. What started as an ordinary walk ended up a rain drenched escapade but I wouldn't have it any other way.",32,28,35
24,2,161,317,"I recently watched the classic kung fu movie Ten Tigers from Kwangtung.  The movie is a much watch for all fans of new and old kung fu movies of all ages. It features an ensemble cast of Ti Lung, Alexander Fu Sheng and Philip Kwok among other well known stars of classic kung fu films. With themes of brotherhood loyalty and the importance of unity in the face of oppression and injustice this movie is relatable to many. I can also wholeheartedly recommend fans of the hip hop group Wu Tang clan to check out this kung fu movie along with other films similar to it. At certain points in the dubbed versions you can hear directly where RZA and GZA sampled lines from that were used in their music. The fight scenes are especially good in this movie as well as they are performed by experts, there are also several instances of creative shots being used for example deep staging.",24,25,28
24,3,136,213,I dream that one day there could be more benches around my community in other words places to rest while out walking around. In this scenario I am likely somewhat more of a player in the local community and have a bit of pull. I would consider pitching a community sponsorship program that would focus on the social and physical wellbeing along with a fostered sense of community that would be encouraged by these benches. For instance local businesses could sponsor the building of these benches around the city and in return receive a plaque on the benches stating which company donated money so that the bench could be built. Oftentimes when I am out for walks which I go on almost daily I find myself wishing there were more places to take a load off.,24,25,28
24,5,127,170,A significant challenge I have faced and how I overcame it would be in the fourth grade I was having immense trouble with my multiplication tables. I first attempted to gain help in understanding them better by asking my teacher if she could help me after school or when she had free time. Now the woman was at the time undergoing a rather serious and brutal divorce which was clearly affecting her mental abilities and stressing her out an extreme amount. She wouldn't help me and my parents were very upset by this. Eventually I ended up joining an after school study program called Kumon at my local community centre. I hated this at first but after I eventually mastered the multiplication tables I felt very rewarded.,20,15,15
25,1,29,233,"When chaos turned my Mother's house upside down, we tackled the mess together and brought comfort back into every corner. Grateful for the chance at a fresh start. #FreshBeginnings.",20,25,30
25,2,75,339,"The Dark Crystal: Age of Resistance is a visual masterpiece, combining the most ancient and sacred of arts, puppetry, with breathtaking landscapes to create a fantasy world that's irresistibly immersive. Its rich storytelling and complex fantasy characters draw you into an epic saga of courage and resistance, concluding with a cliffhanger that's both thrilling and maddening. This isn't just a series, it's a captivating journey through Thra that leaves you wishing for a Season Two.",24,25,38
25,3,121,340,"As an artist with over 20 years of experience drawing nonsense, I am dedicated to growing my creative business. I am seeking to invest in essential equipment that will transform my ability to produce and distribute high-quality, terrible artwork. Currently, my production is limited by the tools I have access to, but with the addition of funding, I would be able to include the addition of a heat press, a mug machine, a sticker printer, and a sublimation printer. I can significantly expand my offerings for a print on demand service. These tools will allow me to create customizable designs on a wide range of products, from apparel to accessories, ensuring that each piece is both unique and of superior quality.",28,35,15
25,5,76,210,"One of the most challenging times of my life was when my Mom's house was broken into and robbed over Mother's Day weekend. With so much to do and with limited time, including a looming red tag deadline, I had to quickly learn to prioritize tasks, coordinate with repair services, and manage my time efficiently. This experience taught me how to stay calm and organized under pressure, ultimately turning a chaotic situation into a manageable one.",20,25,20
26,1,104,264,"I never would've guessed that I'd be having back surgery at 35 years old. Yep... I tweaked my back once in my teens while playing a sport and then again in my twenties while working at my college over the summertime. Although I had these injuries, I ignored them until last year, when all of a sudden I found myself disabled. I had sciatica that was so bad I couldn't walk. Now that I'm on the other side of back surgery, I'm feeling grateful for the amazing medical team and support from my loved ones. Here's to healing and stronger days ahead! #RoadToRecovery #StrongerEveryday",24,25,30
